symbol,closing_price,15day closing_price,trade,value_mn,volume
beximco,26,24.6,1823,87.294,3522229
beximco,26.4,25.1,3154,175.335,6979697
beximco,26.5,24.8,2820,172.4,6956308
beximco,26,24.2,2412,117.357,4828550
beximco,25.2,24.4,2520,116.887,4778434
beximco,24.7,24.9,3195,199.165,7895035
beximco,24.9,25.1,4668,233.287,9294549
beximco,24,24.5,3026,153.379,6212811
beximco,24,24.8,3819,233.149,9331556
beximco,24.2,24.4,3169,159.714,6634886
beximco,24.2,23.8,2059,94.624,3956921
beximco,24.3,24.3,5206,227.12,9369721
beximco,24.5,23.5,2964,122.15,5301776
beximco,24.6,22.3,906,44.398,1992885
beximco,24.5,22.2,745,30.365,1366907
beximco,24.6,22.4,1581,58.711,2611612
beximco,25.1,21.8,520,19.812,910352
beximco,24.8,21.9,704,23.879,1088941
beximco,24.2,21.7,725,28.904,1325672
beximco,24.4,21.7,1005,30.955,1418840
beximco,24.9,22.1,778,20.217,907702
beximco,25.1,22.5,1589,62.155,2766335
beximco,24.5,21.9,668,15.919,724108
beximco,24.8,22.1,1373,36.461,1675573
beximco,24.4,21.1,512,16.264,770401
beximco,23.8,21,473,11.908,565906
beximco,24.3,21.1,528,12.568,597064
beximco,23.5,21,887,25.24,1195942
beximco,22.3,21.6,1078,29.952,1379671
beximco,22.2,22,883,31.22,1415296
beximco,22.4,22.2,646,18.837,848216
beximco,21.8,22.2,987,32.863,1478589
beximco,21.9,22.4,726,23.055,1027108
beximco,21.7,22.6,579,17.65,779776
beximco,21.7,22.7,1180,51.799,2279167
beximco,22.1,22.4,694,26.899,1198767
beximco,22.5,22.5,859,27.442,1216779
beximco,21.9,22.6,1011,42.42,1883940
beximco,22.1,22.1,691,18.267,824578
beximco,21.1,22.1,1149,34.46,1552894
beximco,21,22.2,1605,51.904,2326186
beximco,21.1,22.6,1216,52.206,2306589
beximco,21,22.6,1245,40.863,1800307
beximco,21.6,22.7,1688,59.616,2622852
beximco,22,22.9,1603,86.213,3750917
beximco,22.2,23.2,1219,52.712,2265971
beximco,22.2,23.3,953,42.211,1807860
beximco,22.4,23.6,939,27.592,1165427
beximco,22.6,23.8,2732,142.065,6000975
beximco,22.7,23,619,20.71,901129
beximco,22.4,22.9,658,22.722,989443
beximco,22.5,23,551,17.657,764850
beximco,22.6,23,626,20.995,913231
beximco,22.1,23.2,752,30.112,1287445
beximco,22.1,23.4,1459,57.708,2482788
beximco,22.2,22.7,415,20.052,882528
beximco,22.6,22.7,380,9.36,411620
beximco,22.6,22.8,464,17.196,751862
beximco,22.7,22.9,683,22.228,973811
beximco,22.9,22.6,500,17.147,759780
beximco,23.2,22.6,378,9.656,426513
beximco,23.3,22.5,598,13.277,587607
beximco,23.6,22.6,541,13.502,596878
beximco,23.8,22.7,616,14.864,654394
beximco,23,22.9,522,10.71,466592
beximco,22.9,23.1,896,28.446,1245023
beximco,23,22.6,809,18.746,826762
beximco,23,22.9,508,15.533,677713
beximco,23.2,23,597,24.174,1048357
beximco,23.4,23,544,19.761,856721
beximco,22.7,23,533,15.328,666379
beximco,22.7,22.9,844,24.541,1069166
beximco,22.8,23,924,25.652,1114687
beximco,22.9,23.1,631,16.863,730507
beximco,22.6,23.1,516,13.302,575337
beximco,22.6,23.1,608,24.704,1066343
beximco,22.5,23.2,738,27.958,1210032
beximco,22.6,23.2,773,27.474,1180481
beximco,22.7,23.4,524,24.736,1057135
beximco,22.9,23.4,957,37.062,1567583
beximco,23.1,23.4,623,22.266,951499
beximco,22.6,23.4,647,17.427,744084
beximco,22.9,23.3,905,27.787,1186987
beximco,23,23.4,564,15.163,645663
beximco,23,23.5,956,32.111,1359595
beximco,23,23.8,798,32.568,1367643
beximco,22.9,24,722,31.362,1303686
beximco,23,24,912,41.018,1700587
beximco,23.1,23.8,616,24.906,1045443
beximco,23.1,23.9,580,26.686,1116130
beximco,23.1,23.9,702,34.676,1445691
beximco,23.2,24,664,32.845,1366680
beximco,23.2,24.2,1961,101.743,4169053
beximco,23.4,24,880,26.519,1108685
beximco,23.4,23.9,571,16.493,691932
beximco,23.4,23.9,578,21.199,889238
beximco,23.4,23.9,563,21.099,882563
beximco,23.3,23.9,694,20.415,849417
beximco,23.4,23.9,675,27.179,1137278
beximco,23.5,23.9,411,8.545,357686
beximco,23.8,23.9,422,12.261,515225
beximco,24,24,824,21.421,891048
beximco,24,24,526,14.33,596484
beximco,23.8,24.1,708,20.414,846100
beximco,23.9,23.9,523,11.605,486069
beximco,23.9,23.8,581,17.735,747052
beximco,24,23.8,550,21.749,912651
beximco,24.2,23.9,558,16.084,671796
beximco,24,23.8,533,18.248,765265
beximco,23.9,23.8,757,21.341,896672
beximco,23.9,23.9,689,23.101,967025
beximco,23.9,23.9,860,30.666,1280408
beximco,23.9,24.1,904,27.872,1165139
beximco,23.9,23.8,958,29.892,1248965
beximco,23.9,24,741,21.684,900932
beximco,23.9,24.2,650,23.082,951294
beximco,24,24.2,702,27.909,1152048
beximco,24,24.2,693,21.609,888505
beximco,24.1,24.2,1043,37.693,1552413
beximco,23.9,24.6,1083,46.716,1901790
beximco,23.8,25,1319,54.99,2180932
beximco,23.8,25.5,4014,209.525,8343044
beximco,23.9,24.3,630,21.765,896134
beximco,23.8,24.2,752,27.27,1127922
beximco,23.8,24.1,907,29.926,1228552
beximco,23.9,24.5,1266,57.379,2341199
beximco,23.9,23.9,714,19.583,822197
beximco,24.1,23.8,1088,32.402,1353578
beximco,23.8,24.1,926,34.199,1415443
beximco,24,24.2,928,31.629,1305559
beximco,24.2,24.4,1734,70.14,2871272
beximco,24.2,24,1143,32.45,1346716
beximco,24.2,24.2,2224,75.833,3160747
beximco,24.2,23.1,818,19.783,857072
beximco,24.6,22.9,1625,46.606,2025686
beximco,25,26.2,1097,38.862,1484029
beximco,25.5,26.2,618,19.234,733694
beximco,24.3,26.1,761,31.483,1197813
beximco,24.2,26.3,680,19.625,744168
beximco,24.1,26.6,753,30.628,1151424
beximco,24.5,26.5,925,26.503,992947
beximco,23.9,26.9,1661,53.822,2043550
beximco,23.8,25,556,16.92,676866
beximco,24.1,25.2,705,22.063,869641
beximco,24.2,25.3,585,13.547,536267
beximco,24.4,25.5,796,22.125,863722
beximco,24,25.9,980,26.38,1012650
beximco,24.2,26.3,767,23.59,895337
beximco,23.1,26.7,1686,69.428,2581866
beximco,22.9,26.8,1561,45.347,1700594
beximco,26.2,26.2,1798,57.9,2203437
beximco,26.2,27,1252,37.519,1384892
beximco,26.1,27.4,864,26.071,946547
beximco,26.3,27.9,1436,52.499,1869489
beximco,26.6,27.5,1210,39.813,1439804
beximco,26.5,27.8,1104,41.218,1477661
beximco,26.9,28.1,967,51.548,1825929
beximco,25,28.3,880,37.78,1330143
beximco,25.2,28.5,584,31.506,1106559
beximco,25.3,28.6,745,31.902,1112857
beximco,25.5,29,1348,61.316,2116980
beximco,25.9,28.5,833,28.809,1016634
beximco,26.3,28.3,678,26.663,944820
beximco,26.7,28.1,709,26.259,933149
beximco,26.8,28.2,574,22.358,792663
beximco,26.2,28.2,886,30.406,1072322
beximco,27,28.5,710,22.768,795988
beximco,27.4,28.7,903,33.33,1164565
beximco,27.9,28.6,820,33.443,1162821
beximco,27.5,28.8,779,26.025,900840
beximco,27.8,28.9,897,32.497,1121706
beximco,28.1,28.9,821,25.954,899115
beximco,28.3,29,1013,32.486,1118586
beximco,28.5,29.2,1052,41.721,1425291
beximco,28.6,29.1,1652,73.125,2508856
beximco,29,29.5,1278,51.181,1720316
beximco,28.5,30.2,3347,173.496,5738675
beximco,28.3,29.2,1391,63.583,2172670
beximco,28.1,28.6,568,17.673,616838
beximco,28.2,28.6,567,17.53,612119
beximco,28.2,28.7,595,22.319,775519
beximco,28.5,28.7,658,25.014,866381
beximco,28.7,28.7,866,37.201,1295854
beximco,28.6,28.7,774,27.859,966698
beximco,28.8,28.8,1176,50.23,1738506
beximco,28.9,29,1188,36.582,1256616
beximco,28.9,29.4,877,33.64,1138424
beximco,29,29.7,960,49.656,1658802
beximco,29.2,29.8,1174,55.344,1870086
beximco,29.1,29.2,1112,41.126,1401902
beximco,29.5,29.6,855,43.743,1470963
beximco,30.2,30,1219,56.998,1900029
beximco,29.2,29.5,1103,42.679,1442511
beximco,28.6,29.6,1120,46.407,1559819
beximco,28.6,29.8,1038,45.486,1520866
beximco,28.7,30,1418,70.588,2340670
beximco,28.7,30.1,1094,58.424,1929681
beximco,28.7,30.3,989,45.574,1506708
beximco,28.7,30.2,1342,64.777,2110764
beximco,28.8,30.8,1692,89.362,2889730
beximco,29,30.5,1484,77.651,2562542
beximco,29.4,29.9,1008,42.639,1418064
beximco,29.7,30.6,1367,65.009,2123672
beximco,29.8,30.1,1438,55.779,1879652
beximco,29.2,28.9,849,28.257,970530
beximco,29.6,29.3,971,51.575,1758104
beximco,30,29.6,871,29.949,1006351
